doc,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19
Trieu et al. - 2017 - News Classification from Social Media Using Twitte.txt,-13.4145975,-18.038366,-19.62516,18.35972,11.599665,2.9987159,10.919366,-17.313543,14.515337,11.669583,-22.579699,2.5911036,-25.282722,-3.9854567,6.8831143,-7.8187785,-1.4719993,-6.839098,15.382307,-3.3383198
Liu et al. - 2017 - A review of the smart world-81.txt,-9.342972,-17.231485,-16.349152,17.070536,8.355379,-3.7523832,13.2250395,-11.772013,6.22972,11.040406,-12.797823,-1.3005092,-17.47004,-5.203946,4.065793,-2.5147984,5.3141646,-10.981502,16.272821,-1.7505883
Dodge - 2004 - An Atlas of Cyberspaces- 3D Information Spaces.txt,3.4015212,-6.598878,-6.7571006,11.097752,8.322897,-0.80612636,7.756305,-5.8294864,4.3058724,0.65762746,-13.738278,-1.8856109,-11.741621,2.1029673,0.7739621,-4.7225366,-1.7901951,-3.2507036,7.7559457,-1.8324544
Klement et al. - 1998 - Towards Visual Support for Document Navigation Thr.txt,-2.2147193,-8.049334,-11.641543,9.153073,9.144323,2.2423108,9.10628,-11.870829,7.022644,9.048093,-13.983123,-0.056085598,-13.967367,-4.117482,-0.95916325,1.8401694,1.2325095,-1.2249792,9.622885,-2.101062
Karvelis et al. - 2018 - Topic recommendation using Doc2Vec.txt,-8.068684,-14.684771,-12.711015,10.433643,5.142789,1.2014817,5.027808,-12.372385,11.000323,9.690806,-12.034965,4.012967,-14.639427,-4.023491,2.3356624,-2.7364175,0.72428966,-7.732315,7.7909555,-4.432577
Börner et al. - 2003 - Visualizing knowledge domains.txt,-7.5418496,-9.542015,-11.717609,16.176891,5.3543377,4.3988147,11.07243,-12.28307,7.554738,3.2147887,-20.02742,2.3593583,-20.808247,-0.43770933,0.50925297,-3.078419,1.7020748,-5.9654284,12.218105,-1.1343249
Chao - 2001 - Doom As an Interface for Process Management.txt,-5.351656,-12.096577,-17.96307,10.654682,10.256348,2.8503857,11.269134,-11.917354,8.973355,7.7389545,-15.581467,-1.1845611,-14.7282095,-4.7964954,-0.6635519,-6.293559,1.554555,-3.623438,13.629094,-0.8561666
Jemmali et al. - 2019 - Using Game Design Mechanics As Metaphors to Enhanc.txt,-4.960822,-15.963747,-19.54821,14.062012,10.711953,0.29666895,13.4084015,-14.38894,10.269492,10.848647,-13.646659,-1.0394741,-14.802056,-2.8634925,4.2587852,-8.153859,0.8624644,-9.753241,15.586296,-2.2510858
Buter and Noyons - 2001 - Improving the functionality of interactive bibliom.txt,-1.6093069,-7.0565133,-12.826183,12.126031,5.3857126,3.1154966,7.0916996,-10.236977,5.432828,2.3814352,-13.703119,0.58894235,-14.195895,0.37773335,-1.4448212,-4.239015,-0.17719778,-0.805171,10.813518,1.3031367
Boyack et al. - 2002 - Domain visualization using VxInsight® for science .txt,-7.5632896,-10.904321,-13.8386965,14.934173,6.650934,4.8145328,8.413864,-12.202246,6.34403,6.1141586,-22.453989,0.35456705,-21.383669,0.2504028,1.8549206,-6.3516016,-0.69979125,-4.732306,11.698745,-1.5471085
Banerjee et al. - 2007 - Clustering Short Texts Using Wikipedia.txt,-5.5013237,-10.435378,-11.296061,10.04576,3.371681,4.627689,1.9072763,-12.763313,8.828204,7.14604,-9.252132,5.840936,-11.48423,0.5324051,4.8066196,-5.457232,-2.178767,-6.1474595,4.5104012,-5.1197214
White and McCain - 1998 - Visualizing a discipline An author co-citation an.txt,-8.982593,-11.724654,-13.140333,14.251721,4.7300377,4.846988,8.099543,-11.872999,5.270453,0.44497466,-24.559662,6.322555,-23.878904,-1.7918001,-1.3931237,-10.14541,-0.23333508,-2.418779,13.944714,0.6151719
Zhang et al. - 2012 - Document Clustering in Correlation Similarity Meas.txt,-11.6981735,-11.786861,-11.959265,10.037493,8.059404,4.271798,7.0411696,-13.181685,11.19157,7.1299376,-19.791906,3.7738554,-22.13846,-3.2252004,3.4218576,-3.61181,0.8574322,-3.3793027,8.375869,-7.1742196
Xu et al. - 2017 - Self-Taught Convolutional Neural Networks for Shor.txt,-12.177188,-19.675066,-17.900383,16.809814,7.413747,0.9230403,9.199408,-14.887258,19.50088,8.314736,-23.48276,6.5997963,-26.536156,-1.9547466,5.6469955,-8.797668,-2.2725098,-6.3712573,13.504478,-7.197394
